32°42′50″N,32.71375594,117°10′05″W,-117.16810915,0.4309,251.465°
32°42′54″N,32.71497082,117°09′00″W,-117.15003429,0.6447,94.714°
32°42′47″N,32.71307246,117°09′07″W,-117.15189225,0.5654,109.015°
32°43′32″N,32.72552396,117°09′45″W,-117.16240669,0.6807,353.512°
32°42′42″N,32.71167202,117°09′01″W,-117.15030701,0.6868,114.149°
32°43′06″N,32.71823226,117°09′03″W,-117.15079255,0.6228,73.927°
32°42′43″N,32.71193698,117°09′20″W,-117.15568149,0.4095,129.902°
32°43′03″N,32.71752808,117°09′06″W,-117.15159649,0.5654,77.357°
32°42′50″N,32.71383252,117°09′57″W,-117.16592375,0.3107,244.925°
32°43′19″N,32.72208209,117°09′14″W,-117.15390776,0.6053,43.579°
32°42′32″N,32.70876973,117°09′38″W,-117.16058296,0.4825,176.539°
32°43′01″N,32.71692875,117°10′19″W,-117.17196371,0.638,277.414°
32°42′22″N,32.70601003,117°09′23″W,-117.1564232,0.7249,158.044°
32°42′29″N,32.70816054,117°09′50″W,-117.16380988,0.5472,196.842°
32°43′14″N,32.72042531,117°10′00″W,-117.16675222,0.4622,314.506°
32°42′18″N,32.70505725,117°09′44″W,-117.16215597,0.7408,184.828°
32°43′12″N,32.71994916,117°09′27″W,-117.15757904,0.3553,34.999°
32°42′35″N,32.70983255,117°09′40″W,-117.16118476,0.4082,180.824°
32°43′13″N,32.72036971,117°09′52″W,-117.16434272,0.372,329.376°
32°43′22″N,32.72281502,117°10′06″W,-117.16821282,0.6412,319.72°
32°43′30″N,32.72501154,117°09′38″W,-117.16059598,0.6416,2.534°
32°42′59″N,32.71636069,117°09′50″W,-117.16396839,0.1732,284.391°
32°43′08″N,32.71893645,117°09′21″W,-117.15589815,0.3739,53.754°
32°42′32″N,32.70888452,117°09′09″W,-117.15254675,0.6862,133.653°
32°43′18″N,32.7215873,117°09′09″W,-117.1525146,0.6417,50.944°
32°42′26″N,32.70708813,117°09′26″W,-117.1572285,0.6385,159.442°
32°42′32″N,32.70901284,117°09′37″W,-117.16041092,0.4665,175.188°
32°42′30″N,32.70835833,117°09′38″W,-117.16065696,0.5107,177.214°
32°43′27″N,32.72414325,117°09′30″W,-117.15840227,0.6015,15.024°
32°43′10″N,32.71953538,117°09′35″W,-117.15972227,0.2741,16.786°
32°42′50″N,32.71402479,117°09′12″W,-117.15328901,0.4685,104.638°
32°43′04″N,32.71785806,117°09′21″W,-117.15584808,0.3379,64.298°
32°43′01″N,32.71691346,117°09′56″W,-117.16556781,0.2731,287.307°
32°43′13″N,32.72023431,117°09′40″W,-117.1609954,0.3108,0.948°
32°43′33″N,32.7259072,117°09′27″W,-117.15743656,0.7342,16.79°
32°43′33″N,32.72577432,117°09′50″W,-117.16384729,0.712,346.958°
32°42′36″N,32.71012955,117°09′25″W,-117.15700325,0.4545,148.525°
32°43′09″N,32.71924267,117°09′15″W,-117.15404375,0.4757,59.386°
32°42′46″N,32.71284413,117°10′22″W,-117.17276309,0.708,253.594°
32°42′57″N,32.71571189,117°09′22″W,-117.15616804,0.2859,90.36°
32°43′31″N,32.72533304,117°09′27″W,-117.15749961,0.6951,17.445°
32°43′02″N,32.71731218,117°09′02″W,-117.15042336,0.6294,80.043°
32°42′43″N,32.71199214,117°09′57″W,-117.16579958,0.3771,226.649°
32°42′40″N,32.71100136,117°08′59″W,-117.14972069,0.7375,116.352°
32°43′33″N,32.72583384,117°09′32″W,-117.15880521,0.7103,10.751°
32°42′35″N,32.70964491,117°09′17″W,-117.15461056,0.5649,138.205°
32°42′52″N,32.71449261,117°09′00″W,-117.1499547,0.6529,97.573°
32°43′21″N,32.72250867,117°09′48″W,-117.16340586,0.4871,343.906°
32°42′27″N,32.70752601,117°09′32″W,-117.15886218,0.5821,167.176°
32°43′23″N,32.72300131,117°09′59″W,-117.16644482,0.5909,328.162°
32°43′23″N,32.72302516,117°10′02″W,-117.16723329,0.6177,324.628°
32°42′59″N,32.7162856,117°09′03″W,-117.15082825,0.5976,86.366°
32°42′39″N,32.71071442,117°09′31″W,-117.15847529,0.3789,156.399°
32°43′10″N,32.71957559,117°09′40″W,-117.16116961,0.2653,358.922°
32°42′54″N,32.71496828,117°08′58″W,-117.14931405,0.6865,94.441°
32°42′24″N,32.70660306,117°09′51″W,-117.16427432,0.6581,196.378°
32°42′31″N,32.70860888,117°09′53″W,-117.1646633,0.5349,202.903°
32°42′19″N,32.70532265,117°09′44″W,-117.16229097,0.7233,185.57°
32°42′52″N,32.71446786,117°09′49″W,-117.16351248,0.1663,238.137°
32°42′59″N,32.71637088,117°09′10″W,-117.15269971,0.4895,84.871°
32°42′39″N,32.71087041,117°09′15″W,-117.15404304,0.5299,129.407°
32°42′34″N,32.70945187,117°09′21″W,-117.15581488,0.5316,144.806°
32°43′34″N,32.72608359,117°09′32″W,-117.15881759,0.7271,10.441°
32°42′46″N,32.71276948,117°08′58″W,-117.14940994,0.7092,106.813°
32°42′57″N,32.71579786,117°09′14″W,-117.15394235,0.4153,89.427°
32°43′09″N,32.71917829,117°09′17″W,-117.15468214,0.4417,57.43°
32°42′39″N,32.71079126,117°09′15″W,-117.15427718,0.523,130.817°
32°42′47″N,32.71309287,117°08′57″W,-117.1492379,0.7127,104.86°
32°43′15″N,32.72089022,117°09′18″W,-117.15512945,0.4967,44.194°
32°42′40″N,32.7110835,117°09′36″W,-117.15994466,0.3285,168.364°
32°42′47″N,32.71299803,117°10′09″W,-117.16905751,0.5009,247.787°
32°42′51″N,32.71404488,117°09′12″W,-117.15344457,0.4594,104.756°
32°43′20″N,32.72234011,117°09′42″W,-117.16159342,0.4573,356.284°
32°43′14″N,32.72057956,117°09′31″W,-117.15865644,0.3632,22.87°
32°42′44″N,32.71223118,117°09′39″W,-117.16087951,0.2427,177.194°
32°42′51″N,32.71427916,117°09′10″W,-117.15263959,0.5013,101.601°
32°42′30″N,32.70825345,117°10′11″W,-117.16965778,0.7185,223.948°
32°42′42″N,32.7116507,117°09′14″W,-117.1539681,0.501,124.319°
32°42′32″N,32.70891196,117°09′40″W,-117.16102524,0.4718,179.586°
32°42′52″N,32.71446462,117°09′53″W,-117.16472148,0.2291,247.411°
32°43′21″N,32.72240947,117°10′10″W,-117.16930862,0.6643,313.955°
32°42′46″N,32.71277838,117°09′14″W,-117.15389985,0.4652,116.087°
32°43′16″N,32.7212356,117°10′09″W,-117.16908175,0.6006,309.251°
32°42′28″N,32.70785162,117°09′47″W,-117.16313229,0.5579,192.329°
32°43′10″N,32.71933232,117°10′05″W,-117.16813446,0.4794,301.214°
32°43′11″N,32.71963256,117°09′44″W,-117.16219265,0.2768,346.529°
32°43′03″N,32.71740569,117°10′00″W,-117.16656121,0.3387,289.895°
32°42′58″N,32.7160507,117°10′00″W,-117.16652948,0.3174,273.906°
32°43′02″N,32.71718792,117°09′38″W,-117.16049927,0.1058,18.736°
32°43′30″N,32.72498854,117°09′31″W,-117.15860392,0.6554,12.709°
32°42′47″N,32.71308087,117°10′23″W,-117.17306985,0.7208,255.242°
32°43′12″N,32.7199816,117°09′30″W,-117.15845045,0.3309,27.568°
32°43′27″N,32.72416229,117°09′17″W,-117.15481107,0.6871,32.063°
